76536,4096
60452,4096
32200,2048
36212,2048
56604,4096
36208,2048
36224,2048
36316,2048
7092,512
36604,2048
32132,2048
6268,512
60496,4096
36124,2048
76668,4096
11792,1024
36496,2048
36108,2048
36228,2048
79008,4096
71016,4096
32376,2048
36252,2048
32344,2048
36128,2048
79876,4096
36300,2048
35948,2048
76612,4096
77048,4096
71500,4096
79076,4096
36324,2048
36268,2048
80292,4096
54800,4096
36184,2048
36220,2048
60468,4096
60204,4096
76320,4096
35956,2048
36364,2048
54596,4096
36140,2048
35944,2048
76688,4096
60572,4096
80652,4096
60356,4096
47328,4096
76680,4096
16228,1024
35268,2048
35992,2048
12112,1024
35724,2048
60612,4096
36424,2048
36228,2048
32488,2048
60340,4096
76576,4096
36560,2048
60376,4096
60512,4096
27212,2048
36128,2048
76604,4096
80376,4096
27184,2048
36296,2048
34416,2048
36820,2048
32192,2048
35652,2048
36000,2048
27204,2048
36136,2048
60332,4096
32448,2048
60464,4096
60604,4096
16284,1024
36116,2048
36520,2048
36080,2048
51716,4096
60440,4096
71572,4096
60840,4096
11756,1024
59708,4096
36596,2048
27088,2048
16052,1024
32244,2048
60428,4096
60684,4096
60464,4096
