12036,1024
15868,1024
16376,1024
26996,2048
16008,1024
14516,1024
16348,1024
21548,2048
6352,512
15352,1024
35644,2048
7204,512
30528,2048
32104,2048
32000,2048
11276,1024
16168,1024
27228,2048
16280,1024
15900,1024
12144,1024
34416,2048
12072,1024
34936,2048
25256,2048
16112,1024
34312,2048
16144,1024
3048,256
14476,1024
16540,1024
16240,1024
31592,2048
16160,1024
32100,2048
27144,2048
16060,1024
14708,1024
21504,2048
31988,2048
27116,2048
16248,1024
15356,1024
32508,2048
27160,2048
15368,1024
32248,2048
14216,1024
23180,2048
10104,1024
23460,2048
25488,2048
26896,2048
32196,2048
7164,512
34432,2048
14360,1024
35368,2048
16788,1024
27288,2048
7320,512
15664,1024
35124,2048
16144,1024
14312,1024
22792,2048
26164,2048
16424,1024
15836,1024
7124,512
12092,1024
15196,1024
16052,1024
23196,2048
27096,2048
16192,1024
16188,1024
15960,1024
16148,1024
5204,512
31428,2048
35860,2048
16188,1024
27324,2048
7056,512
16316,1024
11760,1024
32584,2048
16352,1024
7380,512
16036,1024
12060,1024
27428,2048
7100,512
15460,1024
12188,1024
27216,2048
34784,2048
5284,512
27524,2048
