2768,256
4288,256
3204,256
3276,256
2552,128
1988,128
5316,512
1968,128
2864,256
3684,256
2436,128
3484,256
1344,128
1620,128
3236,256
4596,256
3624,256
3452,256
5560,512
1600,128
2864,256
1900,128
1112,128
4224,256
2592,256
5076,512
1652,128
2224,256
2984,256
1144,64
1532,128
1804,128
5696,512
1304,128
2592,256
2588,128
2912,256
3240,256
924,64
3404,256
4504,256
2412,256
1856,128
3468,256
6176,512
7576,512
4572,256
1820,128
3476,256
1120,128
5888,512
3904,256
4328,256
5376,512
1724,128
1928,128
2564,128
2600,128
1984,128
6052,512
3568,256
3628,256
3384,256
2160,128
1052,64
3080,256
4356,256
3840,256
5812,512
3952,256
3432,256
3028,256
964,64
2932,256
2804,256
2464,256
4312,256
1172,64
1216,128
1100,64
2516,256
6728,512
1452,128
1736,128
2016,128
4200,256
2480,256
1512,128
1752,128
1912,128
1652,128
7188,512
4512,256
2068,128
1116,128
5788,512
3928,256
2484,256
3220,256
2944,256
